ZEIT;RAUM;MERKMAL;WERT
2017;91 Berg Fidel;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;76.86
2017;91 Berg Fidel;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;76.63
2017;91 Berg Fidel;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;76.36
2022;91 Berg Fidel;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;74.96
2018;91 Berg Fidel;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;74.27
2018;91 Berg Fidel;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;74.1
2022;91 Berg Fidel;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;73.98
2016;91 Berg Fidel;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;73.95
2019;91 Berg Fidel;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;73.93
2021;91 Berg Fidel;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;73.93
2018;91 Berg Fidel;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;73.9
2016;91 Berg Fidel;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;73.39
2021;91 Berg Fidel;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;73.2
2020;91 Berg Fidel;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;73.19
2019;91 Berg Fidel;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;73.15
2016;91 Berg Fidel;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;72.88
2022;91 Berg Fidel;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;72.85
