Stadtbezirk;Stadtteil;Bevölkerungszahl-Stadtteil;Bevölkerungsdichte-Stadtteil (pro Hektar);Arbeitslosenquote;Anteil SGB-II-Empfänger;Migrationsanteil;Ausländeranteil;Durchschnittl. Einwohnerzahl je Adresse;Durschnittl. Wahlbeteiligung Europawahl-Stadtbezirk;Durchschnittl. Haushaltsgröße
Nord;Coerde;11177;19,05;8,55;18,68;53,55;28,98;7,69;61,37;2,16
Nord;Kinderhaus-Ost;5374;20,5;4,88;10,26;28,73;14,42;5,05;61,37;1,86
Nord;Kinderhaus-West;10767;20,86;7,46;14,04;42,82;21,2;6,01;61,37;2,01
Nord;Sprakel;3680;1,64;2,34;3,88;25,68;7,2;3,46;61,37;2,28
Ost;Gelmer;4063;2,29;3,91;5,66;22,63;12,95;3,52;;2,14
Ost;Handorf;8163;2,66;3,55;6,14;20,26;9,62;3,67;;2,16
West;Albachten;6508;5,02;3,19;4,58;26,55;9,04;3,65;;2,31
West;Mecklenbeck;10714;17,16;3,13;5,36;24,88;11,2;4,34;;1,99
West;Gievenbeck;21768;22,99;3,16;5,67;30,61;14,92;6,77;;1,87
West;Nienberge ;7040;2,53;4,49;7,54;22,97;12,71;3,91;;1,98
West;Roxel;9386;2,03;3,65;6,39;26,18;13,72;4,3;;2,03
Südost;Angelmodde;8751;17,44;5,79;10,63;34,22;17,95;4,5;;2,06
Südost;Gremmendorf-West;6012;9,4;4,79;9,1;37,89;25,4;5,04;;2,08
Südost;Gremmendorf-Ost;6537;16,37;2,45;3,75;17,21;7,08;4,01;;2,03
Südost;Wolbeck;10646;5,14;3,35;5,61;22,09;9,24;3,75;;2,16
Hiltrup;Amelsbüren;6868;1,58;3,61;6,25;26,16;11,46;4,14;;2,3
Hiltrup;Berg Fidel;5857;12,25;8,36;16,97;48,98;25,12;7,17;;2,02
Hiltrup;Hiltrup-West;9493;20,36;4,73;7,81;28,81;11,16;4,25;;2,08
Hiltrup;Hiltrup-Ost;6172;5,61;3,28;4,14;17,94;5,52;3,27;;2,03
Hiltrup;Hiltrup-Mitte;10250;17,13;5,29;8,67;24,22;11,66;5,61;;1,78
