datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24;D25;F25;D26;F26;D27;F27;D28;F28;D29;F29;D30;F30
15.05.2022;Landtagswahl;05515000;1;1 Altstadt;10;10;4337;3134;0;7471;5475;2953;26;5449;10;5465;1576;1552;838;942;259;366;68;73;2382;2023;169;200;0;6;96;54;0;14;0;0;0;14;0;2;0;1;0;0;0;3;0;2;0;5;0;26;0;0;0;7;0;2;0;0;0;0;0;28;0;1;0;3;0;23;0;8;61;110;;
15.05.2022;Landtagswahl;05515000;2;2 Schloss;10;10;4663;3415;0;8078;5735;3211;26;5709;15;5720;1428;1380;986;1042;335;416;80;77;2532;2250;180;184;0;8;89;64;0;27;0;1;0;22;0;0;0;1;0;2;0;5;0;1;0;4;0;23;0;1;0;7;0;2;0;0;0;1;0;24;0;6;0;2;0;33;0;7;79;130;;
15.05.2022;Landtagswahl;05515000;3;3 Kreuz;10;10;5015;3232;0;8247;6328;3023;29;6299;12;6316;1535;1543;1257;1265;358;423;77;74;2773;2477;155;180;0;9;80;60;0;14;0;0;0;28;0;1;0;0;0;4;0;4;0;1;0;4;0;32;0;3;0;4;0;3;0;1;0;0;0;30;0;2;0;5;0;30;0;4;64;115;;
15.05.2022;Landtagswahl;05515000;4;4 Piusallee;11;11;5013;3189;0;8202;5976;3012;30;5946;15;5961;1536;1505;1129;1170;325;355;110;115;2472;2240;193;183;0;9;86;61;0;20;0;1;0;28;0;0;0;2;0;2;0;2;0;2;0;5;0;26;0;2;0;10;0;1;0;6;0;2;0;17;0;7;0;2;0;34;0;6;92;148;3;0
15.05.2022;Landtagswahl;05515000;5;5 Uppenberg;9;9;4932;2721;0;7653;4885;2458;18;4867;17;4868;1191;1199;1038;922;266;340;98;85;1989;1887;138;139;0;10;89;60;0;10;0;0;0;16;0;2;0;2;0;1;0;1;0;0;0;0;0;32;0;4;0;10;0;3;0;2;0;3;0;17;0;5;0;3;0;22;0;4;58;89;;
15.05.2022;Landtagswahl;05515000;6;6 Rumphorst;9;9;4880;2840;0;7720;5593;2674;57;5536;10;5583;1390;1416;1316;1251;213;253;115;100;2185;2061;157;160;0;13;94;58;0;20;0;1;0;28;0;1;0;1;0;4;0;5;0;1;0;6;0;30;0;3;0;2;0;5;0;0;0;0;0;17;0;1;0;5;0;27;0;5;66;109;;
15.05.2022;Landtagswahl;05515000;7;7 Mauritz-Mitte;9;9;4286;2877;0;7163;5427;2713;20;5407;14;5413;1316;1291;1032;1066;288;320;73;74;2398;2149;151;153;0;6;76;62;0;13;0;2;0;33;0;2;0;4;0;0;0;3;0;2;0;1;0;27;0;2;0;8;0;4;0;1;0;1;0;14;0;7;0;6;0;30;0;6;70;126;3;0
15.05.2022;Landtagswahl;05515000;8;8 Herz-Jesu;8;8;4759;2779;0;7538;5238;2574;31;5207;27;5211;1068;1065;991;1057;211;237;59;55;2492;2180;226;244;0;11;71;57;0;14;0;2;0;32;0;0;0;0;0;3;0;4;0;0;0;4;0;24;0;0;0;7;0;2;0;2;0;0;0;25;0;6;0;8;0;29;0;0;84;143;5;0
15.05.2022;Landtagswahl;05515000;9;9 Pluggendorf/Bahnhof;10;10;4843;2921;0;7764;5338;2710;25;5313;15;5323;864;851;980;1011;250;284;59;64;2672;2428;281;303;0;13;105;69;0;15;0;1;0;21;0;0;0;1;0;1;0;1;0;2;0;11;0;13;0;5;0;19;0;1;0;4;0;1;0;26;0;16;0;5;0;25;0;3;93;129;9;0
15.05.2022;Landtagswahl;05515000;10;10 Schützenhof/Hafen;10;10;5226;2734;0;7960;5247;2547;29;5218;13;5234;853;849;968;1027;264;300;69;69;2568;2359;265;246;0;6;137;93;0;24;0;1;0;18;0;0;0;0;0;5;0;4;0;2;0;4;0;35;0;1;0;10;0;1;0;1;0;0;0;12;0;8;0;5;0;35;0;7;89;112;5;0
15.05.2022;Landtagswahl;05515000;11;11 Geist/Pluggendorf;9;9;4996;2859;0;7855;5466;2661;32;5434;27;5439;1119;1084;1090;1184;240;307;81;73;2543;2234;165;177;0;11;109;68;0;16;0;1;0;33;0;1;0;2;0;0;0;5;0;2;0;3;0;28;0;3;0;9;0;2;0;2;0;0;0;15;0;8;0;6;0;34;0;8;87;123;;
15.05.2022;Landtagswahl;05515000;12;12 Aaseestadt;9;9;4916;3345;0;8261;5884;3148;40;5844;24;5860;1613;1645;1098;1174;299;371;70;80;2465;2089;134;143;0;11;99;69;0;18;0;0;0;22;0;0;0;0;0;4;0;8;0;0;0;3;0;22;0;4;0;7;0;3;0;2;0;0;0;19;0;4;0;16;0;30;0;4;66;112;;
15.05.2022;Landtagswahl;05515000;13;13 Düesberg;9;9;4910;2591;0;7501;5091;2447;31;5060;11;5080;1502;1522;1061;1062;220;264;112;105;1889;1649;142;135;0;10;98;69;0;28;0;2;0;20;0;5;0;2;0;1;0;5;0;1;0;2;0;27;0;2;0;13;0;3;0;7;0;1;0;9;0;17;0;5;0;30;0;7;36;77;;
15.05.2022;Landtagswahl;05515000;14;14 Kinderhaus-West;9;9;4343;1643;0;5986;3330;1535;31;3299;31;3299;1198;1171;799;746;140;178;111;110;902;852;70;88;0;6;48;25;0;12;0;0;0;8;0;3;0;2;0;1;0;2;0;0;0;2;0;13;0;1;0;2;0;1;0;1;0;0;0;5;0;4;0;4;0;16;0;4;31;42;;
15.05.2022;Landtagswahl;05515000;15;15 Kinderhaus-Ost/Sprakel;9;9;5148;2229;0;7377;4641;2107;29;4612;22;4619;1744;1730;1146;1049;211;225;106;99;1171;1132;120;108;0;7;62;34;0;23;0;1;0;12;0;2;0;0;0;1;0;4;0;0;0;11;0;22;0;2;0;3;0;4;0;6;0;1;0;14;0;0;0;4;0;32;0;16;52;77;;
15.05.2022;Landtagswahl;05515000;16;16 Coerde;8;8;4963;1219;0;6182;2671;1138;49;2622;35;2636;777;781;725;623;91;112;185;169;666;648;100;109;0;4;54;34;0;7;0;1;0;13;0;0;0;0;0;3;0;5;0;2;0;2;0;29;0;0;0;5;0;3;0;6;0;0;0;2;0;6;0;2;0;24;0;9;24;37;;
15.05.2022;Landtagswahl;05515000;17;17 Gelmer/Dyckburg;8;8;3965;2238;0;6203;4475;2117;28;4447;19;4456;1698;1679;831;792;258;274;69;76;1390;1312;93;103;0;6;67;47;0;13;0;0;0;12;0;0;0;1;0;2;0;5;0;2;0;1;0;12;0;0;0;4;0;3;0;3;0;0;0;15;0;3;0;3;0;22;0;4;41;62;;
15.05.2022;Landtagswahl;05515000;18;18 Handorf;8;8;3978;2264;0;6242;4373;2128;26;4347;12;4361;1995;1955;831;813;248;273;110;105;1033;959;65;57;0;7;40;28;0;28;0;0;0;16;0;2;0;0;0;2;0;5;0;1;0;0;0;19;0;0;0;2;0;1;0;5;0;2;0;5;0;2;0;5;0;23;0;8;25;38;;
15.05.2022;Landtagswahl;05515000;19;19 Mauritz-Ost;7;7;3990;2451;0;6441;4522;2298;39;4483;15;4507;1554;1557;976;992;215;255;82;86;1453;1312;110;104;0;10;54;40;0;10;0;1;0;20;0;1;0;0;0;1;0;1;0;0;0;1;0;19;0;0;0;3;0;1;0;4;0;1;0;3;0;3;0;5;0;17;0;4;39;56;;
15.05.2022;Landtagswahl;05515000;20;20 Gremmendorf;8;8;4764;2235;0;6999;4725;2097;21;4704;15;4710;1628;1563;1012;1060;243;261;111;115;1453;1357;115;101;0;12;86;55;0;17;0;0;0;17;0;0;0;0;0;2;0;3;0;1;0;0;0;17;0;0;0;6;0;3;0;4;0;2;0;5;0;1;0;4;0;37;0;11;52;56;4;0
15.05.2022;Landtagswahl;05515000;21;21 Wolbeck;8;8;4898;2704;0;7602;5081;2533;28;5053;20;5061;2070;2041;1098;1043;289;318;146;148;1250;1206;98;76;0;8;52;42;0;21;0;0;0;12;0;2;0;0;0;0;0;4;0;2;0;2;0;28;0;2;0;2;0;4;0;10;0;1;0;5;0;4;0;2;0;23;0;3;44;52;6;0
15.05.2022;Landtagswahl;05515000;22;22 Angelmodde;9;9;5169;2140;0;7309;4438;2006;34;4404;20;4418;1590;1537;1004;1003;211;241;146;168;1207;1131;109;93;0;3;82;35;0;22;0;0;0;12;0;2;0;2;0;1;0;5;0;5;0;2;0;11;0;3;0;5;0;7;0;9;0;0;0;12;0;3;0;4;0;38;0;13;45;51;10;0
15.05.2022;Landtagswahl;05515000;23;23 Berg Fidel;11;11;5137;2138;0;7275;4092;1992;51;4041;48;4044;1516;1437;910;883;213;255;161;157;1014;979;133;120;0;13;45;31;0;12;0;1;0;15;0;1;0;1;0;1;0;2;0;3;0;8;0;15;0;0;0;6;0;4;0;9;0;0;0;3;0;2;0;2;0;24;0;2;39;58;10;0
15.05.2022;Landtagswahl;05515000;24;24 Hiltrup-Ost;7;7;4213;2080;0;6293;3994;1949;30;3964;27;3967;1612;1586;995;985;177;199;107;114;906;848;74;52;0;3;45;31;0;20;0;0;0;13;0;0;0;0;0;4;0;2;0;1;0;0;0;9;0;1;0;1;0;2;0;5;0;1;0;2;0;6;0;1;0;25;0;6;38;50;10;0
15.05.2022;Landtagswahl;05515000;25;25 Hiltrup-Mitte;8;8;5015;2406;0;7421;4531;2241;32;4499;25;4506;1900;1880;1018;1035;206;225;147;158;1043;959;71;63;0;4;58;39;0;22;0;1;0;11;0;2;0;0;0;1;0;2;0;1;0;0;0;17;0;3;0;1;0;2;0;8;0;0;0;5;0;2;0;1;0;22;0;7;39;35;17;0
15.05.2022;Landtagswahl;05515000;26;26 Amelsbüren;9;9;4628;2222;0;6850;4058;2039;28;4030;21;4037;1787;1760;845;819;191;201;142;148;902;842;81;67;0;6;37;20;0;19;0;2;0;9;0;1;0;0;0;0;0;6;0;5;0;1;0;12;0;9;0;0;0;4;0;8;0;0;0;2;0;3;0;3;0;32;0;4;42;54;3;0
15.05.2022;Landtagswahl;05515000;27;27 Albachten;6;6;4092;1841;0;5933;3908;1706;22;3886;29;3879;1490;1466;815;861;198;235;121;119;1072;913;64;64;0;9;61;39;0;12;0;1;0;17;0;1;0;0;0;0;0;3;0;1;0;1;0;14;0;2;0;2;0;1;0;2;0;1;0;7;0;5;0;2;0;22;0;6;65;73;;
15.05.2022;Landtagswahl;05515000;28;28 Mecklenbeck;7;7;4277;2271;0;6548;4306;2104;28;4278;17;4289;1343;1338;914;952;222;258;91;87;1471;1311;102;92;0;4;85;34;0;23;0;0;0;22;0;1;0;0;0;0;0;2;0;3;0;0;0;23;0;1;0;2;0;1;0;7;0;1;0;14;0;6;0;4;0;29;0;9;50;65;;
15.05.2022;Landtagswahl;05515000;29;29 Roxel;9;9;4333;2227;0;6560;4224;2065;30;4194;19;4205;1793;1763;826;849;192;252;93;89;1115;969;85;82;0;14;50;35;0;17;0;1;0;9;0;2;0;0;0;0;0;4;0;1;0;2;0;16;0;1;0;1;0;1;0;1;0;0;0;6;0;0;0;3;0;35;0;3;40;49;;
