NAME,RECHTSWERT,HOCHWERT,LINK1_TXT,LINK1,LINK2_TXT,LINK2
"Hiltrup, Böttcherstraße",405317,5751424,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Laerer Landweg,408615,5756552,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
"Handorf, Nieland, Dorbaum",411561,5761907,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
"Roxel, Schulte-Hermann-Straße",399210,5756857,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Gottfried-v.-Cappenberg-Schule,404494,5754463,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
"Gremmendorf, Starweg",409497,5754055,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
"Sprakel, Dreilinden",405162,5766213,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
"Angelmodde, Am Schütthook",409894,5752453,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
"Primus-Schule, Berg Fidel",404931,5753566,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
"Handorf, Pröbstingstraße",410624,5760299,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
"Wolbeck, Hiltruper Straße",412190,5752162,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
"Mecklenbeck, Am Hof Hesselmann",402226,5754309,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
"Albachten, Marktplatz",398384,5753597,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
"Amelsbüren, Auf der Woort",403976,5748965,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
"Berg Fidel, Ter-Borch-Straße (Taxenbucht)",405085,5753788,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
"Nienberge, Annette-von-Droste-Hülshoff-Schule",401130,5761627,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Erich-Kästner-Schule,407517,5758887,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
"Gelmer, Westerheide",409080,5765165,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
"Albachten, Ludgerusschule",398866,5753478,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
"Angelmodde, Eichendorffschule",410226,5752481,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
"Gremmendorf, Josef-Suwelack-Weg",408547,5753775,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
"Mecklenbeck, Meyerbeerstraße",401953,5753753,Informationen zum Bücherbus,https://www.stadt-muenster.de/de/buecherei/buecherbus.html,Fahrplan,https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
